Question,Option A,Option B,Option C,Option D,Correct Answer,Points
What conversion do rectifiers perform?,DC to AC,AC to AC (voltage change),DC to DC (voltage change),AC to DC,d,1
An electric current invariably produces which type of field?,Gravitational,Magnetic,Electrostatic,Nuclear,b,1
Electromagnets are typically manufactured using which material?,Steel,Aluminum,Soft iron,Copper,c,1
Which of the following materials is NOT attracted by a magnet?,Nickel,Cobalt,Iron,Aluminum,d,1
"According to the text, what effect does increasing the number of turns in a coil have on the strength of the magnetic field?",Increases,Remains constant,Decreases,Fluctuates erratically,c,1
"If a magnet is divided into two pieces of equal length, how will each piece behave?",One piece will lose its magnetic properties,Both pieces will act like a complete magnet,Both pieces will become demagnetized,The north and south poles will reverse,b,1
Permanent magnets are generally constructed from which type of materials?,Paramagnetic,Diamagnetic,Ferromagnetic,Non-magnetic,c,1
Which scientist posited that a magnet exerts an equal and opposite force on a current-carrying conductor?,Michael Faraday,James Clerk Maxwell,Andre Marie Ampere,Isaac Newton,c,1
Induced current is at its highest when the direction of motion of the coil is:,Parallel to the magnetic field,Perpendicular to the magnetic field,At a 45-degree angle to the magnetic field,Anti-parallel to the magnetic field,b,1
The radius of curvature of a charged particle's path in a uniform magnetic field is proportional to the particle's:,Charge,Velocity,Momentum,Kinetic energy,c,1
Which element is identified as highly effective in the creation of permanent magnets?,Aluminum,Copper,Steel,Nickel,c,1
"Inside a bar magnet, the direction of magnetic lines of force is:",From N-pole to S-pole,From S-pole to N-pole,Parallel to the magnet's length,Perpendicular to the magnet's length,b,1
Nickel and Cobalt are classified as what type of materials based on their magnetic properties?,Diamagnetic,Paramagnetic,Ferromagnetic,Non-magnetic,c,1
"In Fleming's Left-Hand Rule, which finger signifies the direction of the electric current?",Thumb,Index finger,Middle finger,Ring finger,c,1
The discovery and understanding of electromagnetic induction are primarily attributed to experiments conducted by:,Newton and Einstein,Ampere and Maxwell,Faraday and Henry,Coulomb and Volta,c,1
"According to the text, when an electric current passes through a wire, the wire behaves like a:",Resistor,Capacitor,Magnet,Insulator,c,1
Which statement accurately describes Fleming's Right-Hand Rule?,"The electric field, magnetic field, and force are parallel.","The motion of the conductor, magnetic field, and induced current are perpendicular to each other.","The electric current, voltage, and resistance are directly proportional.",The magnetic field is always parallel to the current.,b,1
Permanent magnets are typically made of which type of materials?,Diamagnetic,Paramagnetic,Ferromagnetic,Non-magnetic,c,1
When is the induced current highest according to the text?,Parallel to the magnetic field,At a 45-degree angle to the magnetic field,Perpendicular to the magnetic field,Independent of the magnetic field,c,1
The discovery and understanding of electromagnetic induction is based on a long series of experiments by whom?,Newton and Einstein,Ampere and Maxwell,Faraday and Henry,Coulomb and Ohm,c,1
"What is the relationship between the motion of the conductor, the magnetic field, and the induced current according to Fleming's Right-Hand Rule?",Parallel to each other,In the same direction,Perpendicular to each other,Inversely proportional,c,1
Permanent magnets are commonly made of what type of materials?,Diamagnetic materials,Paramagnetic materials,Ferromagnetic materials,Non-magnetic materials,c,1
Who are credited with the discovery and understanding of electromagnetic induction through a series of experiments?,Ampere and Maxwell,Fleming and Ampere,Faraday and Henry,Maxwell and Fleming,c,1
"According to the text, how are Nickel and Cobalt classified in terms of their magnetic properties?",Diamagnetic,Paramagnetic,Ferromagnetic,Non-magnetic,c,1
"According to Fleming's Right-Hand Rule, which of the following statements is correct?","The motion of the conductor, the magnetic field, and the induced current are parallel to each other.","The motion of the conductor and the magnetic field are parallel, and the induced current is perpendicular.","The magnetic field and induced current are parallel, and the motion of the conductor is perpendicular.","The motion of the conductor, the magnetic field, and the induced current are perpendicular to each other.",d,1
The direction of induced electric current in a rotating rectangular coil of copper wire within a magnetic field changes after how many rotations?,One full rotation,One-fourth rotation,Half rotation,Two full rotations,c,1
"According to the text, what is the phenomenon of electromagnetic induction?",The creation of a magnetic field around a stationary coil.,The heating of a coil due to the flow of electric current.,Inducing electric current in a coil due to relative motion between the coil and the magnet.,The alignment of magnetic domains in a ferromagnetic material.,c,1
"If a coil has 'n' turns, how many times greater is the magnetic field it produces compared to a single turn?",n squared times,2n times,n times,Square root of n times,c,1
When is the induced current generated at its maximum value in relation to the motion of the coil and the electromagnetic field?,When the direction of motion of the coil is parallel to the direction of the electromagnetic field.,When the direction of motion of the coil is at a 45-degree angle to the direction of the electromagnetic field.,When the direction of motion of the coil is perpendicular to the direction of the electromagnetic field.,When the coil is stationary.,c,1
Who is credited with formulating the accepted theory of electromagnetic radiation?,Michael Faraday,Andre Marie Ampere,James Clerk Maxwell,Isaac Newton,c,1
"What is the direction of magnetic field lines outside a magnet, as mentioned in the text?",From South Pole to North Pole,They form concentric circles around the magnet,From North Pole to South Pole,They do not exist outside the magnet,c,1
"According to the text, what remains constant when moving from one end to the other inside a solenoid?",The magnetic field becomes weaker,The magnetic field strength varies erratically,The magnetic field reverses direction,The magnetic field remains uniform,d,1
"According to the text, if a positively charged particle projected towards the west is deflected towards the north by a magnetic field, what is the direction of the magnetic field?",Southward,Downward,Eastward,Upward,d,1
"Which law, as stated in the text, dictates that the induced EMF is directly proportional to the rate of change of magnetic flux linkage?",Ampere's Law,Ohm's Law,Faraday's Law,Lenz's Law,c,1
"To what is Fleming's 'Left Hand Rule' related, according to the text?",Direction of induced current,Effect of electric field on current,Effect of magnetic field on current,Strength of the magnetic field,c,1
"As described in the text, what is the product of the normal magnetic flux density and the area of a plane surface called?",Magnetic Field Strength,Magnetic Potential,Magnetic Flux,Magnetic Permeability,c,1
"What material is an electromagnet typically made of, based on the information in the text?",Steel,Copper,Soft iron,Aluminum,c,1
Who is credited with discovering and naming the science of Electromagnetism?,Michael Faraday,Isaac Newton,James Clerk Maxwell,Andre Marie Ampere,d,1
The magnetic field produced by a coil having 'n' turns is how many times the magnetic field produced by a single turn?,n squared times,2n times,n times,n/2 times,c,1
"When the direction of motion of the coil is perpendicular to the direction of the electromagnetic field, the value of the induced current generated is:",Zero,Minimum,Maximum,Constant,c,1
How does the magnetic field remain when moving from one end to the other inside a solenoid?,Decreasing,Increasing,Non-uniform,Uniform,d,1
"According to Faraday's Law, induced EMF is directly proportional to the:",Resistance of the coil,Rate of change of magnetic flux linkage,Area of the coil,Current flowing through the coil,b,1
Which of the following defines Magnetic Flux Density?,The total magnetic field lines passing through a surface.,The force acting per unit charge in an electric field.,The force acting per unit current flow per length on a wire placed at right angles in a magnetic field.,The energy stored in a magnetic field.,c,1
Electromagnets are typically made of:,Steel,Copper,Soft iron,Aluminum,c,1
Who discovered and named the science of Electromagnetism?,Michael Faraday,Isaac Newton,James Clerk Maxwell,Andre Marie Ampere,d,1
"As described in the text, how does the magnetic field behave inside a solenoid?",It weakens from one end to the other,It oscillates,It remains uniform,It strengthens from one end to the other,c,1
"What is an electromagnet typically made of, as indicated in the provided text?",Steel,Copper,Aluminum,Soft iron,d,1
